Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
SM,3.18,2431172880,3.12,0.69,1.36,1.47,4.66,31.68%,5159393880,1.92,2.69,1.29,-31.63%,,0.90,0.57,0.16,6.70,,-67.12%,0.57,3.77%,18.18%,11.99%,6.87%,0.80,3,0.20
JOE,32.37,2390025415,,,22.13,,21.82,3.10%,2917507415,7.24,16.20,16.89,1.99%,41.17,5.93,3.30,-2.72,39.33,50.25,2.43%,3.31,1.35%,17.39%,44.09%,1.28%,0.56,5,0.14
GEF,13.84,2474039861,11.08,0.46,7.71,1.02,12.56,8.50%,5421539861,0.98,7.25,3.34,2.98%,15.32,0.45,1.21,2.25,25.79,33.57,6.53%,,4.28%,3.88%,48.71%,3.38%,2.16,4,0.54
CCOI,,2466793260,,2.27,,4.22,,-8.27%,4575797260,4.42,28.30,20.07,-4.45%,,2.38,11.07,,,,-8.26%,,7.89%,4.21%,,8.36%,3.96,10,1.00
FA,,2378863230,14.42,1.50,84.37,2.76,,-4.64%,4365913230,5.08,52.51,28.55,-0.09%,,2.77,1.82,,,,-0.17%,,,,,-1.61%,,,1.50
DGNX,,2310876900,,,,,,-0.21%,2297926729,1768.26,,,-0.25%,,1778.23,,,,,-0.25%,,,,,,,0,0.00
APLS,,2358445640,,2.71,,2.78,,-8.39%,2415617640,3.09,,,-3.65%,,3.02,10.32,,,,-3.74%,9.91,,,,-4.40%,,0,0.00
VCYT,96.27,2326262556,51.01,4.67,30.98,4.19,81.03,1.04%,2086014556,4.68,38.52,46.31,3.06%,36.46,5.22,1.98,,86.42,32.69,2.74%,7.10,,,,-7.60%,,0,0.00
ACAD,10.43,2371739580,19.97,2.21,15.04,1.54,6.39,9.55%,1649013580,1.72,6.02,23.61,9.53%,15.09,2.48,3.24,-0.42,7.28,10.49,6.63%,3.86,,,,-1.55%,,0,0.00
ENVA,12.03,2305174032,7.63,0.73,1.50,1.76,9.93,9.09%,5578153032,3.65,9.27,,26.80%,1.54,1.51,1.93,,26.63,3.73,64.86%,2.88,,,,11.65%,,0,0.00
ODD,25.39,2321898997,21.50,2.95,16.85,2.85,17.55,4.37%,2244388997,3.47,16.30,18.53,5.78%,17.89,3.59,8.22,,22.11,17.30,5.59%,12.85,,,,-2.02%,,0,0.00
STR,31.55,1206075528,31.59,1.95,2.61,3.70,15.86,3.39%,2286263528,3.66,4.92,4.51,5.80%,9.10,1.93,0.82,,55.84,17.25,10.99%,1.60,9.15%,-26.32%,285.71%,8.89%,1.40,0,0.41
CURB,248.44,2352595885,54.80,15.91,43.36,11.67,154.58,0.44%,1726186885,14.28,32.52,30.97,2.11%,64.50,19.46,1.21,,168.21,47.33,1.55%,1.26,1.83%,,455.56%,1.91%,0.41,1,0.16
REZI,25.31,2288412050,6.48,0.30,5.15,0.48,11.85,3.98%,3579412050,0.53,8.03,3.06,10.17%,6.29,0.34,0.69,,39.33,9.83,15.91%,,,,,-0.68%,,0,0.00
WLYB,56.80,2292989605,32.77,5.22,11.04,7.05,,-8.74%,3097016605,1.65,79.52,7.82,4.25%,17.43,1.22,3.10,2.47,,23.54,5.74%,,3.35%,0.71%,187.88%,5.86%,1.41,10,0.35
PRK,15.08,2301203048,15.66,4.26,12.87,4.51,12.88,6.58%,2437225048,4.82,12.10,,6.96%,13.56,4.55,1.85,4.82,16.10,14.36,7.37%,2.10,3.38%,12.83%,50.97%,3.12%,4.75,1,1.07
AGL,,2236743775,178.57,0.37,,0.31,,-11.63%,1866050775,0.31,,,-3.81%,,0.37,4.75,,,,-3.18%,5.98,,,,-0.50%,,0,0.00
ASH,,2292617111,10.27,1.18,12.46,1.79,,-1.00%,3489617111,1.71,,6.32,1.72%,38.21,1.12,0.88,-1.36,,58.16,2.62%,3.40,3.35%,5.19%,,11.45%,1.62,10,0.41
PRKS,10.88,2268845670,8.37,1.28,4.73,2.55,9.83,10.03%,4516317670,2.62,7.25,3.51,5.13%,9.79,1.32,,,19.85,19.49,10.21%,,,,,6.95%,,,0.10
TOWN,14.31,2311693976,11.44,2.83,10.44,4.67,120.96,6.54%,3809005976,4.16,57.69,,4.72%,12.85,2.53,1.12,,25.19,21.17,7.78%,1.41,3.30%,,46.51%,2.84%,1.00,10,0.25
MANU,,2272294901,,3.28,25.70,4.49,,-7.38%,3107244735,4.01,,15.68,-7.55%,,2.93,8.92,,,,-10.32%,,,,,-3.68%,,,0.09
CXW,32.02,2169415710,28.67,1.08,8.06,1.50,19.03,3.17%,3032451710,1.55,10.55,6.83,6.98%,10.25,1.11,1.45,1.44,44.03,14.32,9.76%,1.46,,,,2.94%,,,0.44
OLN,21.58,2260230120,16.44,0.34,4.49,0.78,15.87,4.80%,5234830120,0.80,6.17,2.59,5.89%,7.34,0.35,1.12,1.82,48.20,16.99,13.63%,,4.07%,,87.91%,11.30%,0.80,0,0.20
IPGP,,2238056360,37.14,2.24,9.03,1.31,,-8.11%,1307864360,1.34,,29.48,13.61%,12.58,2.29,1.11,2.52,,7.35,7.95%,1.18,,,,6.31%,,,0.65
UTF,,2244942554,,,14.19,,,-8.74%,3194055881,,,,4.95%,14.19,,1.00,,,20.19,7.05%,0.97,8.00%,,65.52%,8.04%,1.86,0,0.16
WLY,56.85,2217792015,32.35,5.05,9.42,7.06,15.72,1.86%,3102058015,1.82,8.73,7.62,5.62%,12.72,1.30,3.24,2.48,75.05,17.79,7.86%,,3.40%,0.71%,187.88%,4.87%,1.41,10,0.35
CALX,,2176413299,45.90,2.48,31.82,2.15,,-1.37%,1883042299,2.26,,,2.67%,43.23,2.62,2.79,3.26,,37.40,2.31%,3.29,,,,4.96%,,0,0.00
GENI,,2308238625,194.52,3.78,28.20,3.57,,-2.73%,2180510625,4.27,158.88,,0.81%,131.04,4.52,4.03,,,123.79,0.76%,17.13,,,,-1.61%,,0,0.00
PAR,,2192016081,353.51,4.84,,5.40,5938.38,-0.23%,2446611081,6.99,63.85,,-1.31%,,6.26,2.51,,,,-1.46%,,,,,-23.97%,,,0.31
AMRX,,3190995611,9.92,1.07,10.81,1.90,35.28,-3.66%,5665714611,2.03,14.28,3.62,4.14%,13.59,1.14,,,,24.13,7.36%,,,,,-75.42%,,0,0.00
MLTX,,2142435808,,,,,,-5.66%,1697238019,,,,-6.90%,,,4.79,,,,-5.47%,4.79,,,,-27.99%,,0,0.00
CENTA,17.23,2104769591,13.13,0.64,5.48,0.96,12.82,7.05%,3164285591,0.96,8.15,6.39,10.78%,6.17,0.64,1.39,2.54,21.33,9.27,16.21%,4.23,,,,0.13%,,0,0.00
CSAN,,2174613443,12.05,,0.98,,48.68,-64.30%,11572924960,1.77,12.96,0.88,7.73%,2.43,0.33,1.18,,,12.93,41.14%,,7.49%,0.67%,,7.89%,0.35,2,0.35
RNW,123.88,2099631191,20.40,1.39,2.74,6.67,15.02,0.73%,10045736437,8.59,11.18,2.67,-5.13%,,1.79,1.68,,651.30,,-24.54%,2.53,,,,-0.65%,,0,0.00
IBRX,,2099467320,11.65,16.86,,21.98,,-19.70%,2738228320,185.71,,,-14.54%,,142.39,,,,,-18.96%,,,,,-37.71%,,0,0.00
BKU,9.59,2201419895,8.98,1.98,5.07,4.81,16.91,10.56%,5348856895,5.58,14.21,,10.88%,3.78,2.30,0.78,0.28,23.01,9.19,26.44%,0.81,4.22%,7.27%,40.24%,3.71%,1.24,5,0.31
YELP,18.30,2239418208,13.49,1.48,7.84,1.30,10.74,5.93%,1964661208,1.39,8.24,13.16,12.65%,9.01,1.59,3.01,0.40,14.79,7.91,11.10%,4.04,,,,4.06%,,0,0.00
HCM,62.83,2190333564,43.29,,4407.11,,30.21,1.72%,1444043564,2.29,30.21,,-1.12%,,3.48,2.88,,38.27,,-0.74%,2.92,,,,-0.42%,,0,0.00
CLVT,,2228772660,4.90,0.93,3.45,2.73,,-29.97%,6526072660,2.55,14.29,2.32,5.48%,6.23,0.87,0.43,0.17,,18.25,16.04%,,,,,-3.28%,,0,0.00
RLX,30.96,2290675200,8.87,,19.61,,276.50,3.30%,1130581824,3.00,,,10.33%,19.61,6.08,1.05,,14.96,9.68,5.10%,1.06,0.46%,,13.64%,4.29%,0.01,0,0.01
LU,,1068571898,3.79,0.18,0.90,0.48,,-44.27%,2782748670,0.78,,1.32,42.53%,0.90,0.30,0.09,,,2.35,110.74%,0.21,9.06%,,,-42.19%,0.24,0,0.24
PTON,,2047097025,33.90,0.82,12.52,1.28,,-14.20%,3196697025,1.22,4566.71,,4.73%,13.53,0.78,,,,21.13,7.39%,,,,,-6.42%,,0,0.00
VAL,5.73,2066329607,7.16,0.93,5.81,1.24,6.04,18.07%,2768529607,1.17,4.77,4.27,-3.60%,,0.87,0.92,,7.41,,-4.82%,0.93,,,,3.06%,,,0.04
FFBC,9.19,2088347675,8.28,2.33,7.97,2.55,8.52,10.96%,2286822675,2.90,7.46,,8.10%,11.27,2.65,0.86,1.71,9.99,12.34,8.87%,1.54,4.38%,3.26%,40.00%,4.01%,0.96,1,0.24
EVTC,19.27,2131495416,9.81,2.33,8.20,3.05,14.53,5.28%,2793338416,3.30,8.54,8.34,6.14%,12.42,2.52,4.51,2.14,24.80,16.27,8.05%,,0.59%,,11.56%,2.17%,0.20,0,0.05
INTR,16.48,2035084153,1.69,0.23,3.20,0.33,10.56,6.61%,2891044900,3.04,9.35,,21.54%,3.27,2.14,1.35,,21.48,4.64,30.60%,1.86,1.58%,,23.90%,-7.63%,0.08,1,0.08
LXP,57.15,2197259040,,6.36,10.40,10.65,33.21,1.73%,3682310040,10.27,11.81,8.69,2.80%,21.29,6.13,1.05,6.37,97.10,35.69,4.70%,1.16,7.30%,3.92%,415.39%,7.17%,0.54,5,0.14
PSNYW,,350318092,,0.12,,,,,,,,,,,,,,,,,,,,,,,0,0.00
WMK,19.87,2186167460,,,11.66,,13.16,5.03%,1977336460,0.41,7.49,8.90,1.65%,67.01,0.46,1.51,,17.99,60.61,1.49%,1.60,1.70%,,33.27%,1.70%,1.36,0,0.34
TR,25.83,2176537769,,,15.67,,15.73,3.99%,1996345769,2.76,13.76,16.22,6.06%,18.00,3.01,2.50,,22.99,16.51,5.55%,3.51,1.14%,2.24%,29.44%,1.95%,0.35,56,0.09
SID,,1902939127,45.45,,1.54,,6.29,-3.43%,6524057549,0.70,4.05,1.48,7.49%,3.89,0.20,0.64,-2.14,,13.35,25.68%,6.21,15.54%,-44.17%,,20.37%,0.22,0,0.08
QBTS,,2072311200,,93.50,,87.20,,-6.94%,1932708200,218.95,,,-2.33%,,234.77,33.08,,,,-2.17%,33.84,,,,-39.23%,,0,0.00
VCEL,209.50,2100694210,154.53,7.24,36.12,7.14,186.34,0.49%,2072802210,8.74,89.04,208.89,-0.28%,,8.86,7.19,,200.04,,-0.28%,7.33,,,,-8.59%,,0,0.00
POWL,13.13,2086710512,11.97,1.79,33.75,1.47,8.34,7.69%,1714678512,1.62,8.06,10.68,2.86%,42.58,1.97,4.20,0.86,10.68,34.99,2.35%,4.22,0.62%,0.95%,8.12%,0.80%,1.07,2,0.27
CHEF,39.05,2112547290,29.96,0.52,13.80,0.71,22.73,2.63%,2913720290,0.77,15.09,11.36,3.55%,20.40,0.56,3.93,3.20,52.52,28.14,4.90%,101.11,,,,-0.75%,,0,0.00
PONY,,1827247330,,,,,,-15.00%,1095488330,14.60,,,,,24.36,1.92,,,,,2.18,,,,-28.30%,,0,0.00
ALG,17.40,2019671170,15.79,1.23,9.63,1.24,12.00,5.74%,2042878170,1.25,9.15,9.28,9.19%,10.75,1.24,1.98,3.89,17.62,10.88,9.30%,3.04,0.71%,16.67%,12.46%,0.30%,1.20,10,0.30
TTAM,11.83,2072234163,21.24,2.36,8.35,2.88,10.09,8.01%,2520293163,1.54,7.21,6.18,4.47%,18.40,1.27,2.76,,15.18,22.38,5.43%,4.16,,,,,,0,0.00
SAH,9.61,2014427879,9.41,0.14,18.45,0.41,13.23,10.72%,6099327879,0.43,10.31,3.33,-0.37%,,0.14,1.90,0.74,28.24,,-1.12%,7.35,2.36%,10.17%,22.65%,4.86%,1.40,4,0.35
CORZ,,2043596501,10.47,3.42,47.64,3.99,,-64.35%,2382492501,4.67,,20.77,-2.20%,,4.00,,,,,-2.56%,,,,,32.65%,,0,0.00
CLSK,63.23,1953019640,6.99,1.95,,1.39,15.51,3.44%,1391630640,4.56,4.95,4.59,-92.80%,,6.40,0.97,,20.73,,-66.13%,1.04,,,,-61.46%,,,0.12
FOLD,,1952510200,234.25,3.03,,3.33,102.98,-2.87%,2146208200,4.06,73.03,45.93,-1.74%,,3.70,10.06,-0.18,,,-1.92%,,,,,-3.12%,,0,0.00
HNI,14.52,1961655497,12.04,0.75,8.65,0.93,11.78,7.11%,2431855497,0.96,7.74,6.43,7.15%,11.29,0.78,2.34,0.98,17.43,13.99,8.86%,9.09,3.16%,3.13%,45.83%,-3.66%,1.32,10,0.33
HAFN,2.67,2014214401,4.84,1.80,1.95,2.55,3.45,38.43%,2852895401,0.99,2.74,1.97,36.38%,1.94,0.70,0.89,,3.69,2.75,51.53%,0.87,28.87%,15.58%,77.19%,27.68%,1.16,4,0.03
LGND,,1950379466,16.79,10.55,20.10,9.20,306.27,-0.21%,1701319466,10.18,39.64,33.48,5.60%,20.48,11.67,2.35,1.53,,17.87,4.88%,4.25,,,,-3.00%,,,0.46
AGYS,91.96,1962653340,45.83,6.19,33.97,6.19,74.85,1.13%,1962792340,7.45,59.77,67.45,2.84%,35.18,7.45,7.64,-2.19,88.17,35.19,2.84%,35.40,,,,-4.95%,,,0.03
PFS,14.13,1936633311,7.13,2.52,4.54,5.40,27.76,5.97%,4152737311,6.84,20.34,,10.24%,4.56,3.19,0.74,1.84,35.95,9.77,21.95%,1.09,6.45%,,91.43%,-40.08%,0.96,0,0.24
ECG,13.82,1980810093,15.50,0.64,12.12,0.73,10.91,7.24%,2258000093,0.79,9.72,9.21,5.70%,15.38,0.70,4.69,,15.74,17.53,6.50%,7.09,,,,0.00%,,0,0.00
MIRM,,1916455220,39.68,4.36,185.61,4.44,,-4.59%,1953478220,5.80,,,0.48%,205.36,5.69,8.49,,,209.33,0.49%,,,,,-16.23%,,0,0.00
TTMI,35.53,1942485415,9.45,0.74,8.20,0.92,18.52,2.90%,2434216415,1.00,10.28,6.29,3.73%,21.40,0.80,1.24,0.52,43.24,26.82,4.67%,2.78,,,,0.27%,,0,0.00
STRA,16.90,1945956006,14.44,1.49,11.49,1.45,11.69,5.79%,1887159006,1.55,9.17,9.50,6.82%,15.11,1.60,1.17,0.90,16.75,14.66,6.62%,9.09,2.95%,,51.39%,2.18%,2.40,0,0.60
AGX,22.01,1839018797,24.32,2.04,10.97,1.46,11.82,4.65%,1313881797,1.50,11.24,20.39,11.01%,12.71,2.10,5.23,,15.37,9.08,7.87%,5.73,1.09%,22.73%,24.39%,-1.56%,1.50,3,0.38
PI,47.10,1872955503,44.72,5.23,14.60,5.59,43.63,2.18%,2001042503,5.47,33.66,181.10,5.56%,16.84,5.12,12.50,,49.00,18.00,5.94%,15.46,,,,-10.16%,,0,0.00
LION,,1876427800,8.95,0.57,,1.68,70.44,-10.53%,5550827800,1.85,49.04,7.68,-5.23%,,0.62,,,,,-15.47%,,,,,-13.93%,0.00,,0.12
CLOV,,1862254976,,0.98,53.44,0.87,,-2.31%,1640699976,1.20,,,2.03%,55.94,1.36,5.46,,,49.29,1.79%,5.48,,,,-1.63%,,0,0.00
UEC,,1873558840,20.27,,,,,-3.48%,1802838840,26.97,,,-2.72%,,28.03,2.14,,,,-2.61%,2.14,,,,-4.97%,,0,0.00
BLTE,,1862489647,,,,,,-1.94%,1717877647,,,,-1.71%,,,12.77,,,,-1.58%,12.78,,,,-14.83%,,0,0.00
TSLX,9.75,1857305562,8.94,3.94,,7.92,10.74,10.04%,3731119562,7.73,10.74,,-1.22%,,3.85,1.16,1.27,20.00,,-2.45%,1.15,10.51%,-0.48%,102.61%,2.35%,2.08,0,0.46
AIR,,1862234004,11.82,0.64,202.42,0.98,35.29,-0.67%,2851234004,1.06,20.72,8.44,-0.81%,,0.69,1.57,2.41,,,-1.24%,4.28,,,,-1.72%,,,0.08
TARS,,1835722900,,5.18,,4.56,,-6.29%,1616191900,8.83,,,-5.54%,,10.03,8.18,,,,-4.88%,8.49,,,,-27.98%,,0,0.00
DNLI,,1773075150,,44.65,,24.76,,-23.84%,983032150,,,,-36.99%,,,1.44,,,,-20.51%,1.44,,,,-19.73%,,0,0.00
MYRG,61.25,1800330368,17.46,0.52,20.67,0.55,36.15,1.68%,1916860368,0.57,16.22,16.09,1.04%,90.46,0.54,3.00,4.91,63.34,96.31,1.11%,4.39,,,,1.85%,,0,0.00
GTX,6.75,1743610050,6.42,0.50,4.27,0.88,6.19,16.17%,3088610050,0.89,5.24,3.07,10.26%,5.50,0.50,,,10.95,9.74,18.18%,,0.69%,,4.76%,-33.82%,0.06,0,0.06
MTX,10.77,1766970153,8.47,0.80,7.47,1.09,8.49,9.46%,2401070153,1.13,6.36,4.66,6.63%,11.10,0.83,1.01,2.26,14.37,15.08,9.01%,2.88,0.75%,40.00%,8.51%,1.67%,0.44,2,0.11
BHVN,,1704995825,,20.19,,14.83,,-49.64%,1251786825,,,,-46.85%,,,4.03,,,,-34.40%,4.18,,,,-28.14%,,0,0.00
OSW,24.45,1765732290,16.88,1.82,22.41,1.88,20.94,4.13%,1819838290,2.03,16.37,17.14,3.96%,24.51,1.97,3.18,,24.98,25.26,4.08%,72.17,0.72%,,17.39%,-6.55%,0.12,0,0.04
APGE,,1780335265,,,,,,-10.23%,1271513265,,,,-13.55%,,,2.48,,,,-9.68%,2.42,,,,-120.72%,,0,0.00
EFSC,9.66,1724731853,9.32,2.57,6.97,2.08,6.04,10.52%,1396052853,2.27,5.81,,17.19%,7.19,2.80,0.95,1.90,7.69,5.82,13.91%,1.25,2.36%,10.00%,22.77%,3.03%,1.10,10,0.29
FLOC,1.81,1723038981,12.42,2.04,9.61,2.83,21.05,4.66%,2395113981,4.47,11.46,8.12,3.71%,19.39,3.22,2.05,,29.85,26.95,5.16%,5.94,,,,,,0,0.00
CDLR,24.58,1706955598,9.77,3.37,16.43,4.50,27.33,3.97%,2277977133,8.79,27.33,13.13,-25.59%,,6.59,1.24,,33.61,,-34.14%,1.34,,,,,,0,0.00
QS,,2053643130,,,,,,-23.27%,1236413130,,,,-27.23%,,,1.77,,,,-16.39%,1.77,,,,-9.92%,0.00,0,0.00
VTMX,9.61,197892596,12.42,0.64,1.53,2.78,1.82,112.84%,856692596,3.40,1.82,9.78,-11.31%,,0.78,0.08,,3.84,,-48.97%,0.71,3.11%,-1.99%,277.21%,-11.83%,0.70,2,0.17
CVI,282.83,1698973900,27.17,0.23,4.21,0.36,45.36,0.41%,2630973900,0.35,7.39,4.79,6.54%,9.88,0.22,2.42,-2.16,375.85,15.30,10.12%,2.43,5.96%,-10.26%,1435.73%,5.90%,1.00,0,0.50
VICR,327.07,2073875052,30.96,4.92,40.79,4.28,172.18,0.30%,1803938052,5.02,61.98,54.72,1.51%,76.13,5.78,3.64,,294.33,66.22,1.31%,3.63,,,,-0.36%,,,0.15
PSNY,,2042818764,,0.69,,1.83,,-69.57%,5404440764,2.63,,,-37.03%,,0.99,1.12,,,,-97.97%,,,,,,,0,0.00
APPN,,2017783775,135.37,2.90,293.37,3.13,,-4.57%,2172914775,3.52,,,0.14%,655.12,3.27,,,,705.49,0.15%,,,,,0.16%,,0,0.00
DFH,6.44,2008895436,6.51,0.44,,0.66,6.79,16.95%,2973270436,0.67,6.53,4.48,-9.48%,,0.45,1.61,,8.73,,-14.04%,2.13,,,,5.40%,,0,0.00
WAFD,11.14,1974356973,9.11,2.84,5.22,4.90,13.91,8.82%,3401436973,4.62,7.64,,10.53%,5.51,2.68,0.65,1.67,19.52,9.50,18.14%,0.87,4.47%,3.96%,48.66%,-22.10%,1.08,6,0.27
LCII,13.78,1964740512,11.26,0.50,5.31,0.71,12.81,7.27%,2794837512,0.75,8.13,5.66,11.73%,5.99,0.53,1.42,1.09,19.56,8.52,16.69%,4.76,6.04%,4.76%,82.14%,5.76%,4.60,9,1.15
CXM,17.28,1947295458,18.94,2.35,25.10,1.83,31.32,6.25%,1512541458,1.90,20.12,59.17,3.91%,32.92,2.45,3.18,0.69,12.44,25.57,3.04%,3.60,,,,4.29%,0.00,0,0.00
TDC,17.97,2002338090,9.33,1.21,6.61,1.31,11.18,5.69%,2158338090,1.23,7.37,6.53,12.83%,7.23,1.14,15.06,3.35,18.93,7.79,13.83%,,,,,4.10%,,,1.50
MQ,76.70,1944159625,285.71,3.20,33.42,1.37,29.70,1.40%,834104625,1.65,17.64,,4.43%,52.60,3.83,1.79,,30.57,22.57,1.90%,2.08,,,,2.57%,,0,0.00
AAP,,1910383155,66.56,0.22,22.57,0.44,,-17.58%,3727292155,0.41,,5.99,-2.22%,,0.21,0.88,0.62,,,-4.33%,1.64,3.15%,,,2.64%,1.00,0,0.25
ENR,33.54,1912363431,7.31,0.65,5.82,1.67,21.83,3.06%,4944563431,1.70,14.18,3.37,4.63%,8.36,0.66,13.60,1.50,84.52,21.61,11.96%,,4.54%,,151.81%,3.72%,1.20,0,0.30
CEPU,7.97,1456906430,,,12.49,,3.42,12.57%,1660920369,4.28,3.02,6.49,6.47%,13.55,3.76,1.88,,9.07,15.45,7.38%,1.11,3.20%,68.29%,968.30%,3.05%,0.31,0,0.31
RIG,,1944322439,49.85,0.50,4.35,2.01,,-26.33%,7884322439,2.24,13.64,1.70,2.45%,10.07,0.55,0.19,-22.91,,40.85,9.93%,0.19,,,,-20.44%,,,0.15
FBK,16.45,1901535983,11.14,3.40,13.70,1.96,7.47,6.10%,1095860983,2.47,6.78,,12.16%,14.27,4.29,1.21,,9.44,8.22,7.01%,1.44,1.90%,12.90%,30.65%,2.29%,0.76,7,0.19
TGI,3.26,1913366098,29.64,,,,4.20,29.27%,2750230098,2.21,3.99,10.59,-1.93%,,1.54,,0.20,4.91,,-2.77%,,,,,-1.26%,,,0.04
LMND,,1901332811,,2.83,,2.38,,-10.63%,1599032811,3.04,,,-1.30%,,3.61,3.20,,,,-1.09%,3.38,,,,-1.96%,,0,0.00
SYBT,16.34,1873653914,14.86,4.79,13.11,5.31,14.40,6.11%,2078931914,6.07,13.18,,6.41%,14.06,5.47,1.99,2.00,18.15,15.60,7.11%,2.56,1.84%,3.36%,31.88%,1.58%,1.24,7,0.31
ESRT,24.50,1141071820,672.55,6.15,4.37,17.07,19.31,4.16%,3167404820,4.12,9.08,5.76,2.65%,13.59,1.49,1.11,7.63,66.77,37.73,7.36%,8.34,2.05%,,49.46%,0.77%,0.14,0,0.04
PII,17.19,1873505258,30.96,0.27,6.99,0.52,13.19,5.91%,3658105258,0.51,6.49,3.25,0.18%,288.23,0.26,1.45,1.43,33.02,562.79,0.35%,5.30,8.02%,1.53%,137.44%,9.68%,2.68,10,0.67
AGM.A,7.84,1987431259,7.35,5.13,3.62,75.06,111.32,9.03%,29076626259,80.36,111.32,,1.88%,3.63,5.49,1.34,1.00,161.94,53.16,27.52%,1.72,4.66%,21.28%,36.50%,4.24%,6.00,10,1.50
AEO,6.31,1820022700,7.23,0.34,3.82,0.54,6.69,18.10%,2907390700,0.55,4.44,2.75,8.75%,7.16,0.34,1.03,38.27,8.83,11.43,13.97%,1.22,4.72%,11.11%,29.76%,4.89%,0.50,1,0.13
CWK,14.27,1847935190,7.17,0.18,8.88,0.44,10.77,7.11%,4367735190,0.46,7.11,3.59,3.82%,11.07,0.20,1.05,0.40,33.27,26.15,9.04%,,,,,-2.60%,,0,0.00
HP,6.23,1859870499,6.62,0.46,2.78,0.45,3.76,16.33%,1799708499,0.65,2.04,2.28,11.28%,9.16,0.67,0.63,5.78,5.92,8.86,10.92%,0.66,5.43%,-32.95%,33.04%,5.79%,1.00,0,0.25
NBTB,12.96,1810293078,10.93,2.63,9.60,2.93,11.26,7.77%,2020193078,3.62,9.76,,8.75%,10.24,3.25,1.19,3.82,14.36,11.42,9.77%,1.61,3.36%,6.35%,45.79%,3.17%,1.36,10,0.34
AGM,9.98,1746514939,9.36,4.51,2.85,77.51,116.32,10.33%,30023309939,82.55,116.32,,2.02%,2.88,4.80,1.17,1.38,166.40,49.43,34.78%,1.66,3.58%,21.28%,36.50%,3.24%,6.00,10,1.50
HTH,15.89,1792849252,17.69,4.20,6.54,1.97,5.83,6.31%,841249252,0.71,5.12,,32.62%,6.53,1.51,0.82,1.14,7.43,3.07,15.31%,0.94,2.58%,6.15%,41.38%,2.47%,0.72,9,0.18
NEXT,,1746270308,,,,,14.85,-3.54%,5420978308,,14.59,,-49.13%,,,4.62,,,,-152.52%,4.62,,,,-32.86%,,0,0.00
WB,6.51,1837666992,4.24,,,,3.28,16.37%,1347958992,0.77,,3.33,,,1.05,0.53,4.85,4.48,,,0.57,10.86%,,70.69%,0.33%,0.82,0,0.82
BKE,9.09,1808474185,9.06,1.44,7.47,1.46,7.15,10.81%,1844007185,1.51,6.57,6.75,10.83%,9.05,1.49,4.27,48.30,9.43,9.23,11.04%,4.21,11.03%,,100.26%,10.38%,3.90,0,0.35
RNG,,2098407493,5.43,0.82,4.34,1.34,192.15,-2.78%,3414462493,1.42,14.20,8.84,11.80%,5.21,0.87,,0.20,,8.48,19.19%,,,,,2.95%,0.00,0,0.00
TRN,15.62,2079985908,15.65,0.79,3.62,2.87,16.32,6.65%,7542685908,2.45,9.98,2.89,-0.02%,,0.68,1.96,2.78,54.50,,-0.06%,2.84,4.72%,7.41%,73.16%,3.76%,1.20,10,0.30
SKWD,18.31,2119576943,15.13,1.58,6.95,1.56,12.83,5.61%,2081587943,1.81,12.57,12.74,14.45%,7.04,1.84,2.67,0.72,17.52,6.92,14.20%,2.98,,,,-7.99%,,0,0.00
FINV,6.51,236236074,3.67,,0.60,,,138.19%,-681490770,,,2.14,-58.04%,0.60,0.13,0.11,,,,167.43%,1.02,3.16%,8.44%,20.73%,9.08%,0.26,4,0.26
HUBG,19.55,2032554986,15.05,0.49,10.45,0.58,16.43,5.12%,2414117986,0.61,7.11,6.11,6.45%,13.05,0.52,1.24,1.07,23.21,15.50,7.66%,3.72,1.50%,,29.41%,5.96%,0.50,1,0.13
IVT,139.11,2047275729,84.19,6.72,14.96,8.84,53.12,0.67%,2696469729,9.84,16.37,13.18,-3.79%,,7.47,1.16,,197.43,,-5.00%,1.26,3.64%,5.04%,500.21%,-1.08%,0.95,6,0.24
BANC,23.03,2039990328,9.56,1.89,26.37,1.74,11.10,4.27%,1871515328,1.95,6.45,,3.87%,28.18,2.12,0.58,2.15,21.49,25.86,3.55%,0.76,3.15%,,77.47%,-173.30%,0.40,0,0.10
TBBK,10.09,2087558496,8.01,5.15,9.17,4.05,5.62,10.42%,1641131496,3.31,5.54,,13.58%,9.37,4.21,2.64,1.46,7.54,7.37,10.67%,2.62,,,,7.88%,,0,0.00
MEOH,11.12,1791027440,5.98,0.41,2.43,0.96,12.80,9.16%,4179097440,1.12,5.87,3.07,13.47%,3.18,0.48,0.86,0.98,25.48,7.42,31.44%,0.97,2.82%,,30.94%,3.17%,0.74,3,0.19
MLCO,50.34,715610264,14.10,0.14,1.14,1.36,12.50,6.08%,6898978264,1.49,6.31,2.09,5.29%,1.96,0.15,,0.21,158.44,18.90,51.02%,,,,,1.15%,,,0.17
